Exchange Date,Close,Net,Returns,Log_Returns
6/2/2022,1096.85,-4.09,-0.003715007,-0.003721925
6/3/2022,1094.19,-2.66,-0.002425126,-0.002428072
6/6/2022,1105.43,11.24,0.010272439,0.010220036
6/7/2022,1096.12,-9.31,-0.008422062,-0.008457728
6/8/2022,1109.73,13.61,0.012416524,0.012340071
6/9/2022,1101.86,-7.87,-0.007091815,-0.007117082
6/10/2022,1090.19,-11.67,-0.010591182,-0.010647668
6/13/2022,1052.92,-37.27,-0.034186701,-0.034784736
6/14/2022,1054.09,1.17,0.001111196,0.001110579
6/15/2022,1059.56,5.47,0.00518931,0.005175892
6/16/2022,1044.23,-15.33,-0.01446827,-0.014573956
6/17/2022,1039.5,-4.73,-0.004529653,-0.004539943
6/20/2022,1038.35,-1.15,-0.001106301,-0.001106914
6/21/2022,1057.32,18.97,0.01826937,0.01810449
6/22/2022,1034.42,-22.9,-0.021658533,-0.021896522
6/23/2022,1036.76,2.34,0.002262137,0.002259582
6/24/2022,1052.05,15.29,0.014747868,0.014640176
6/27/2022,1068.03,15.98,0.015189392,0.015075188
6/28/2022,1070.06,2.03,0.001900696,0.001898892
6/29/2022,1054.44,-15.62,-0.014597312,-0.014704901
6/30/2022,1041.37,-13.07,-0.012395205,-0.012472666
7/1/2022,1032.96,-8.41,-0.0080759,-0.008108687
7/4/2022,1031.85,-1.11,-0.001074582,-0.00107516
7/5/2022,1027.06,-4.79,-0.004642148,-0.004652956
7/6/2022,1018.15,-8.91,-0.008675248,-0.008713097
7/7/2022,1031.43,13.28,0.013043265,0.012958934
7/8/2022,1036.24,4.81,0.004663428,0.004652588
7/11/2022,1016.71,-19.53,-0.018846985,-0.019026853
7/12/2022,1002.76,-13.95,-0.013720727,-0.013815726
7/13/2022,1005.4,2.64,0.002632734,0.002629274
7/14/2022,999.32,-6.08,-0.006047344,-0.006065704
7/15/2022,996.59,-2.73,-0.002731858,-0.002735596
7/18/2022,1014.42,17.83,0.017891008,0.017732848
7/19/2022,1013.57,-0.85,-0.000837917,-0.000838268
7/20/2022,1020.14,6.57,0.006482039,0.006461121
7/21/2022,1022.93,2.79,0.002734919,0.002731186
7/22/2022,1025.5,2.57,0.002512391,0.00250924
7/25/2022,1021.75,-3.75,-0.003656753,-0.003663455
7/26/2022,1023.48,1.73,0.001693173,0.001691742
7/27/2022,1024.13,0.65,0.000635088,0.000634887
7/28/2022,1031.44,7.31,0.007137766,0.007112412
7/29/2022,1026.85,-4.59,-0.004450089,-0.00446002
8/1/2022,1029.73,2.88,0.002804694,0.002800768
8/2/2022,1017.32,-12.41,-0.012051703,-0.012124913
8/3/2022,1018.4,1.08,0.001061613,0.00106105
8/4/2022,1027.42,9.02,0.008857031,0.008818037
8/5/2022,1035.57,8.15,0.007932491,0.007901194
8/8/2022,1035.8,0.23,0.0002221,0.000222075
8/9/2022,1035.94,0.14,0.000135161,0.000135152
8/10/2022,1033.15,-2.79,-0.002693206,-0.002696839
8/11/2022,1050.17,17.02,0.016473891,0.016339668
8/12/2022,1053.16,2.99,0.002847158,0.002843113
8/15/2022,1051.08,-2.08,-0.001975009,-0.001976961
8/16/2022,1050.82,-0.26,-0.000247365,-0.000247395
8/17/2022,1053.66,2.84,0.002702651,0.002699006
8/18/2022,1048.04,-5.62,-0.005333789,-0.005348064
8/19/2022,1039.86,-8.18,-0.007805046,-0.007835664
8/22/2022,1031.53,-8.33,-0.008010694,-0.008042952
8/23/2022,1031.35,-0.18,-0.000174498,-0.000174513
8/24/2022,1026.75,-4.6,-0.004460174,-0.00447015
8/25/2022,1044.59,17.84,0.017375213,0.01722599
8/26/2022,1048.63,4.04,0.003867546,0.003860086
8/29/2022,1035.41,-13.22,-0.012606925,-0.012687067
8/30/2022,1035.09,-0.32,-0.000309056,-0.000309104
8/31/2022,1033.43,-1.66,-0.001603725,-0.001605013
9/1/2022,1017.27,-16.16,-0.015637247,-0.015760798
9/2/2022,1014.24,-3.03,-0.00297856,-0.002983005
9/5/2022,1010.6,-3.64,-0.003588894,-0.00359535
9/6/2022,1007.65,-2.95,-0.002919058,-0.002923327
9/7/2022,999.85,-7.8,-0.007740783,-0.007770898
9/8/2022,999.71,-0.14,-0.000140021,-0.000140031
9/9/2022,1014.75,15.04,0.015044363,0.014932319
9/12/2022,1024.9,10.15,0.010002464,0.00995277
9/13/2022,1021.31,-3.59,-0.003502781,-0.00350893
9/14/2022,1004.42,-16.89,-0.016537584,-0.016675857
9/15/2022,1001.12,-3.3,-0.003285478,-0.003290887
9/16/2022,984.46,-16.66,-0.016641362,-0.016781385
9/19/2022,979.73,-4.73,-0.004804664,-0.004816244
9/20/2022,988.37,8.64,0.008818756,0.008780098
9/21/2022,974.2,-14.17,-0.014336736,-0.0144405
9/22/2022,965.96,-8.24,-0.008458222,-0.008494196
9/23/2022,947.3,-18.66,-0.01931757,-0.019506593
9/26/2022,931.8,-15.5,-0.016362293,-0.016497633
9/27/2022,934.44,2.64,0.002833226,0.00282922
9/28/2022,919.3,-15.14,-0.016202217,-0.016334909
9/29/2022,915.92,-3.38,-0.003676711,-0.003683486
9/30/2022,918.67,2.75,0.003002446,0.002997947
10/3/2022,918.52,-0.15,-0.00016328,-0.000163293
10/4/2022,935.49,16.97,0.018475373,0.018306777
10/5/2022,953.47,17.98,0.019219874,0.019037505
10/6/2022,954.26,0.79,0.000828553,0.000828209
10/7/2022,940.36,-13.9,-0.014566261,-0.01467339
10/10/2022,925.92,-14.44,-0.015355821,-0.015474943
10/11/2022,905.34,-20.58,-0.022226542,-0.022477274
10/12/2022,903.51,-1.83,-0.00202134,-0.002023386
10/13/2022,892.7,-10.81,-0.01196445,-0.0120366
10/14/2022,900.83,8.13,0.009107203,0.009065982
10/17/2022,903.27,2.44,0.002708613,0.002704951
10/18/2022,916.65,13.38,0.014812847,0.014704208
10/19/2022,903.01,-13.64,-0.014880271,-0.014992092
10/20/2022,902.42,-0.59,-0.00065337,-0.000653584
10/21/2022,902.78,0.36,0.000398927,0.000398848
10/24/2022,877.41,-25.37,-0.028102085,-0.028504505
10/25/2022,877.97,0.56,0.000638242,0.000638039
10/26/2022,884.77,6.8,0.007745139,0.0077153
10/27/2022,892.42,7.65,0.008646315,0.00860915
10/28/2022,878.59,-13.83,-0.015497187,-0.015618524
10/31/2022,879.95,1.36,0.001547935,0.001546738
11/1/2022,901.13,21.18,0.024069549,0.023784444
11/2/2022,907.62,6.49,0.007202069,0.007176257
11/3/2022,894.42,-13.2,-0.014543531,-0.014650325
11/4/2022,920.67,26.25,0.029348628,0.028926202
11/7/2022,932.98,12.31,0.013370697,0.013282099
11/8/2022,933.23,0.25,0.000267959,0.000267923
11/9/2022,931.52,-1.71,-0.001832346,-0.001834027
11/10/2022,921.18,-10.34,-0.011100137,-0.011162204
11/11/2022,964.96,43.78,0.047525999,0.046431193
11/14/2022,971.54,6.58,0.006818935,0.006795792
11/15/2022,993.73,22.19,0.022840027,0.022583099
11/16/2022,988.03,-5.7,-0.005735964,-0.005752478
11/17/2022,976.73,-11.3,-0.0114369,-0.011502804
11/18/2022,977.48,0.75,0.000767868,0.000767574
11/21/2022,966.78,-10.7,-0.010946516,-0.011006869
11/22/2022,964.97,-1.81,-0.001872194,-0.001873949
11/23/2022,969.25,4.28,0.004435371,0.004425564
11/24/2022,981.91,12.66,0.013061646,0.012977078
11/25/2022,977.02,-4.89,-0.00498009,-0.004992532
11/28/2022,968.21,-8.81,-0.009017216,-0.009058117
11/29/2022,990.97,22.76,0.023507297,0.023235256
11/30/2022,1010.15,19.18,0.019354774,0.019169852
12/1/2022,1013.84,3.69,0.003652923,0.003646267
12/2/2022,1011.09,-2.75,-0.00271246,-0.002716145
12/5/2022,1023.41,12.32,0.01218487,0.012111232
12/6/2022,1014.36,-9.05,-0.008842986,-0.008882317
12/7/2022,999.95,-14.41,-0.014206002,-0.014307873
12/8/2022,1011.41,11.46,0.011460573,0.011395398
12/9/2022,1018.83,7.42,0.007336293,0.007309513
12/12/2022,1002.48,-16.35,-0.01604782,-0.01617798
12/13/2022,1004.74,2.26,0.002254409,0.002251872
12/14/2022,1012.43,7.69,0.007653721,0.00762458
12/15/2022,999.37,-13.06,-0.012899657,-0.01298358
12/16/2022,996.19,-3.18,-0.003182005,-0.003187078
12/19/2022,998.31,2.12,0.002128108,0.002125847
12/20/2022,990.63,-7.68,-0.007693001,-0.007722745
12/21/2022,993.33,2.7,0.002725538,0.002721831
12/22/2022,1004.09,10.76,0.010832251,0.010774003
12/23/2022,996.35,-7.74,-0.007708472,-0.007738336
12/26/2022,998.35,2,0.002007327,0.002005315
12/27/2022,999.55,1.2,0.001201983,0.001201261
12/28/2022,1004.4,4.85,0.004852183,0.00484045
12/29/2022,1003.13,-1.27,-0.001264436,-0.001265237
12/30/2022,1001.65,-1.48,-0.001475382,-0.001476472
1/1/2023,1001.45,-0.2,-0.000199671,-0.00019969
1/2/2023,1001.45,-0.2,-0.00019971,0
1/3/2023,1009.51,8.06,0.00804833,0.008016115
1/4/2023,1019.38,9.87,0.009777021,0.009729535
1/5/2023,1029.58,10.2,0.010006082,0.009956353
1/6/2023,1033,3.42,0.003321743,0.003316238
1/9/2023,1056.41,23.41,0.022662149,0.022409177
1/10/2023,1057.6,1.19,0.001126457,0.001125823
1/11/2023,1061.51,3.91,0.00369705,0.003690233
1/12/2023,1063.11,1.6,0.001507287,0.001506152
1/13/2023,1074.82,11.71,0.011014853,0.010954631
1/16/2023,1073.56,-1.26,-0.001172289,-0.001172977
1/17/2023,1071.09,-2.47,-0.002300756,-0.002303407
1/18/2023,1076.08,4.99,0.004658806,0.004647987
1/19/2023,1071.91,-4.17,-0.003875177,-0.003882705
1/20/2023,1080.58,8.67,0.008088366,0.00805583
1/23/2023,1083.02,2.44,0.002258047,0.002255501
1/24/2023,1083.54,0.52,0.000480139,0.000480024
1/25/2023,1083.13,-0.41,-0.000378389,-0.000378461
1/26/2023,1093.83,10.7,0.009878777,0.009830301
1/27/2023,1091.24,-2.59,-0.002367827,-0.002370635
1/30/2023,1085.48,-5.76,-0.005278399,-0.005292379
1/31/2023,1074.49,-10.99,-0.010124553,-0.010176155
2/1/2023,1085.29,10.8,0.01005128,0.010001102
2/2/2023,1086.2,0.91,0.000838486,0.000838134
2/3/2023,1078.13,-8.07,-0.007429571,-0.007457308
2/6/2023,1055.38,-22.75,-0.021101351,-0.021327167
2/7/2023,1056.05,0.67,0.000634842,0.000634641
2/8/2023,1060.98,4.93,0.00466834,0.004657477
2/9/2023,1065.13,4.15,0.003911478,0.003903848
2/10/2023,1053.72,-11.41,-0.010712307,-0.010770097
2/13/2023,1055.92,2.2,0.002087841,0.002085665
2/14/2023,1055.65,-0.27,-0.000255701,-0.000255734
2/15/2023,1046.75,-8.9,-0.008430825,-0.008466565
2/16/2023,1051.69,4.94,0.004719369,0.004708268
2/17/2023,1041.32,-10.37,-0.00986032,-0.009909255
2/20/2023,1046.74,5.42,0.005204932,0.005191433
2/21/2023,1035.96,-10.78,-0.010298641,-0.010352039
2/22/2023,1023.96,-12,-0.011583459,-0.01165107
2/23/2023,1028.76,4.8,0.004687683,0.00467673
2/24/2023,1011.73,-17.03,-0.01655391,-0.016692457
2/27/2023,1008.77,-2.96,-0.002925682,-0.00292997
2/28/2023,1004.17,-4.6,-0.004560009,-0.004570437
3/1/2023,1028.69,24.52,0.024418176,0.024124818
3/2/2023,1022.74,-5.95,-0.005784055,-0.005800848
3/3/2023,1031.01,8.27,0.008086122,0.008053604
3/6/2023,1034.49,3.48,0.003375331,0.003369647
3/7/2023,1029.49,-5,-0.0048333,-0.004845018
3/8/2023,1020.98,-8.51,-0.008266229,-0.008300584
3/9/2023,1010.8,-10.18,-0.009970812,-0.010020854
3/10/2023,996.85,-13.95,-0.01380095,-0.013897068
3/13/2023,1000.73,3.88,0.003892261,0.003884705
3/14/2023,985.26,-15.47,-0.015458715,-0.015579447
3/15/2023,985.24,-0.02,-2.03E-05,-2.03E-05
3/16/2023,979.6,-5.64,-0.005724494,-0.005740941
3/17/2023,989.11,9.51,0.009708044,0.009661224
3/20/2023,980.36,-8.75,-0.008846337,-0.008885698
3/21/2023,991.61,11.25,0.011475376,0.011410034
3/22/2023,1001.06,9.45,0.009529956,0.009484833
3/23/2023,1016.22,15.16,0.015143947,0.015030423
3/24/2023,1012.14,-4.08,-0.004014879,-0.00402296
3/27/2023,1002.79,-9.35,-0.009237852,-0.009280786
3/28/2023,1009.81,7.02,0.007000469,0.006976079
3/29/2023,1020.34,10.53,0.010427704,0.010373711
3/30/2023,1024.99,4.65,0.004557304,0.004546951
3/31/2023,1028.03,3.04,0.002965883,0.002961493
4/3/2023,1028.55,0.52,0.000505822,0.000505694
4/4/2023,1026.88,-1.67,-0.001623645,-0.001624964
4/5/2023,1025.97,-0.91,-0.000886179,-0.000886572
4/6/2023,1025.39,-0.58,-0.000565319,-0.000565479
4/7/2023,1025.71,0.32,0.000312076,0.000312028
4/10/2023,1026.32,0.61,0.00059471,0.000594533
4/11/2023,1034,7.68,0.007483046,0.007455187
4/12/2023,1031.03,-2.97,-0.00287234,-0.002876474
4/13/2023,1033.84,2.81,0.00272543,0.002721723
4/14/2023,1036.84,3,0.002901803,0.002897601
4/17/2023,1041.01,4.17,0.004021836,0.00401377
4/18/2023,1037.52,-3.49,-0.003352513,-0.003358146
4/19/2023,1026.45,-11.07,-0.010669674,-0.010727003
4/20/2023,1026.06,-0.39,-0.00037995,-0.000380023
4/21/2023,1017.24,-8.82,-0.008595989,-0.008633147
4/24/2023,1015.63,-1.61,-0.001582714,-0.001583968
4/25/2023,1003.53,-12.1,-0.011913788,-0.011985325
4/26/2023,1007.39,3.86,0.003846422,0.003839044
4/27/2023,1011.62,4.23,0.00419897,0.004190179
4/28/2023,1016.58,4.96,0.004903027,0.004891046
5/1/2023,1016.24,-0.34,-0.000334455,-0.000334511
5/2/2023,1012.77,-3.47,-0.003414548,-0.003420391
5/3/2023,1009.4,-3.37,-0.003327508,-0.003333056
5/4/2023,1016.04,6.64,0.006578165,0.006556624
5/5/2023,1021.66,5.62,0.005531278,0.005516037
5/8/2023,1030.24,8.58,0.008398097,0.008363029
5/9/2023,1021.26,-8.98,-0.008716416,-0.008754626
5/10/2023,1019.23,-2.03,-0.001987741,-0.001989719
5/11/2023,1016.73,-2.5,-0.002452832,-0.002455845
5/12/2023,1012.3,-4.43,-0.004357106,-0.004366625
5/15/2023,1018.08,5.78,0.00570977,0.005693531
5/16/2023,1019.86,1.78,0.001748389,0.001746862
5/17/2023,1013.66,-6.2,-0.006079266,-0.00609782
5/18/2023,1015.37,1.71,0.001686956,0.001685535
5/19/2023,1011.67,-3.7,-0.003643992,-0.003650647
5/22/2023,1017.2,5.53,0.005466209,0.005451324
5/23/2023,1010.92,-6.28,-0.00617381,-0.006192947
5/24/2023,1003.42,-7.5,-0.007418985,-0.007446642
5/25/2023,996.25,-7.17,-0.007145562,-0.007171214
5/26/2023,1004.31,8.06,0.008090339,0.008057787
5/29/2023,1003.03,-1.28,-0.001274507,-0.00127532
5/30/2023,1000.15,-2.88,-0.0028713,-0.00287543
5/31/2023,988.14,-12.01,-0.012008199,-0.01208088
6/1/2023,991.9,3.76,0.003805129,0.003797908
6/2/2023,1015.45,23.55,0.023742313,0.023464847
6/5/2023,1018.56,3.11,0.003062682,0.003058001
6/6/2023,1020.68,2.12,0.00208137,0.002079207
6/7/2023,1029.73,9.05,0.008866638,0.00882756
6/8/2023,1028.24,-1.49,-0.001446981,-0.001448029
6/9/2023,1034.86,6.62,0.006438186,0.006417549
6/12/2023,1036.43,1.57,0.001517113,0.001515964
6/13/2023,1045.71,9.28,0.008953813,0.008913965
6/14/2023,1049.21,3.5,0.003347008,0.003341419
6/15/2023,1059.97,10.76,0.010255335,0.010203106
6/16/2023,1065.73,5.76,0.005434116,0.005419405
6/19/2023,1060.54,-5.19,-0.004869901,-0.004881798
6/20/2023,1048.72,-11.82,-0.011145266,-0.011207839
6/21/2023,1040.84,-7.88,-0.007513922,-0.007542293
6/22/2023,1036.49,-4.35,-0.004179317,-0.004188074
6/23/2023,1027.28,-9.21,-0.008885759,-0.008925472
6/26/2023,1023.94,-3.34,-0.003251304,-0.003256601
6/27/2023,1030.07,6.13,0.005986679,0.00596883
6/28/2023,1028.81,-1.26,-0.001223218,-0.001223967
6/29/2023,1024.55,-4.26,-0.004140706,-0.004149303
6/30/2023,1027.74,3.19,0.003113562,0.003108725
7/3/2023,1043.09,15.35,0.014935684,0.014825245
7/4/2023,1045.94,2.85,0.002732267,0.002728541
7/5/2023,1038.5,-7.44,-0.007113219,-0.007138638
7/6/2023,1019.68,-18.82,-0.018122292,-0.018288512
7/7/2023,1016.08,-3.6,-0.003530519,-0.003536766
7/10/2023,1017.27,1.19,0.001171168,0.001170482
7/11/2023,1029.4,12.13,0.011924071,0.01185354
7/12/2023,1040.52,11.12,0.010802409,0.01074448
7/13/2023,1055.55,15.03,0.014444701,0.01434137
7/14/2023,1062.29,6.74,0.006385297,0.006364997
7/17/2023,1061.87,-0.42,-0.000395372,-0.00039545
7/18/2023,1055.63,-6.24,-0.005876426,-0.00589376
7/19/2023,1052.32,-3.31,-0.003135568,-0.003140495
7/20/2023,1051.25,-1.07,-0.001016801,-0.001017318
7/21/2023,1047.55,-3.7,-0.00351962,-0.003525828
7/24/2023,1044.1,-3.45,-0.003293399,-0.003298834
7/25/2023,1065.38,21.28,0.02038119,0.020176273
7/26/2023,1066.9,1.52,0.001426721,0.001425704
7/27/2023,1071.47,4.57,0.004283438,0.00427429
7/28/2023,1080.29,8.82,0.008231682,0.008197986
7/31/2023,1084.4,4.11,0.003804534,0.003797315
8/1/2023,1078.58,-5.82,-0.005367023,-0.005381477
8/2/2023,1055.86,-22.72,-0.021064733,-0.02128976
8/3/2023,1050.85,-5.01,-0.004744947,-0.00475624
8/4/2023,1055.72,4.87,0.004634344,0.004623638
8/7/2023,1054.98,-0.74,-0.000700943,-0.000701189
8/8/2023,1042.33,-12.65,-0.011990749,-0.012063218
8/9/2023,1046.81,4.48,0.004298063,0.004288853
8/10/2023,1048.02,1.21,0.001155893,0.001155225
8/11/2023,1037.35,-10.67,-0.010181103,-0.010233285
8/14/2023,1024.92,-12.43,-0.011982455,-0.012054824
8/15/2023,1019.99,-4.93,-0.004810132,-0.004821737
